,Brand,Model,Price,Date
0,APPLE,iPhone 5 16GB/32GB/64GB ,50,2019-09-08 00:00:00
1,APPLE,iPhone 5s 16GB,100,2019-09-08 00:00:00
2,APPLE,iPhone 5s 32GB 64GB ,150,2019-09-08 00:00:00
3,APPLE,iPhone 5c 16GB ,100,2019-09-08 00:00:00
4,APPLE,iPhone 5c 32GB,100,2019-09-08 00:00:00
5,APPLE,iPhone SE 32GB,400,2019-09-08 00:00:00
6,APPLE,iPhone SE 64GB,550,2019-09-08 00:00:00
7,APPLE,iPhone 6 16GB ,450,2019-09-08 00:00:00
8,APPLE,iPhone 6 64GB ,550,2019-09-08 00:00:00
9,APPLE,iPhone 6 128GB,550,2019-09-08 00:00:00
10,APPLE,iPhone 6 PLUS 16GB ,600,2019-09-08 00:00:00
11,APPLE,iPhone 6 PLUS 64GB,750,2019-09-08 00:00:00
12,APPLE,iPhone 6 PLUS 128GB,750,2019-09-08 00:00:00
13,APPLE,iPhone 6s 16GB ,550,2019-09-08 00:00:00
14,APPLE,iPhone 6s 32GB,700,2019-09-08 00:00:00
15,APPLE,iPhone 6s 64GB,750,2019-09-08 00:00:00
16,APPLE,iPhone 6s 128GB,800,2019-09-08 00:00:00
17,APPLE,iPhone 6s PLUS 16GB,800,2019-09-08 00:00:00
18,APPLE,iPhone 6s PLUS 32GB,900,2019-09-08 00:00:00
19,APPLE,iPhone 6s PLUS 64GB,1000,2019-09-08 00:00:00
20,APPLE,iPhone 6s PLUS 128GB,1100,2019-09-08 00:00:00
21,APPLE,iPhone 7 32GB,1000,2019-09-08 00:00:00
22,APPLE,iPhone 7 128GB ,1350,2019-09-08 00:00:00
23,APPLE,iPhone 7 256GB ,1450,2019-09-08 00:00:00
24,APPLE,iPhone 7 PLUS 32GB ,1650,2019-09-08 00:00:00
25,APPLE,iPhone 7 PLUS 128GB ,2150,2019-09-08 00:00:00
26,APPLE,iPhone 7 PLUS 256GB ,2250,2019-09-08 00:00:00
27,APPLE,iPhone 8 64GB ,2300,2019-09-08 00:00:00
28,APPLE,iPhone 8 256GB ,2800,2019-09-08 00:00:00
29,APPLE,iPhone 8 PLUS 64GB ,2900,2019-09-08 00:00:00
30,APPLE,iPhone 8 PLUS 256GB ,3500,2019-09-08 00:00:00
31,APPLE,iPhone X 64GB ,4000,2019-09-08 00:00:00
32,APPLE,iPhone X 256GB ,4500,2019-09-08 00:00:00
33,APPLE,iPhone XS 64GB ,5000,2019-09-08 00:00:00
34,APPLE,iPhone XS 256GB ,5800,2019-09-08 00:00:00
35,APPLE,iPhone XS 512GB ,6100,2019-09-08 00:00:00
36,APPLE,iPhone XS MAX 64GB ,6200,2019-09-08 00:00:00
37,APPLE,iPhone XS MAX 256GB ,7000,2019-09-08 00:00:00
38,APPLE,iPhone XS MAX 512GB ,7300,2019-09-08 00:00:00
39,Samsung,Galaxy A5 (A5000),200,2019-09-08 00:00:00
40,Samsung,Galaxy A6+ (A6050),900,2019-09-08 00:00:00
41,Samsung,Galaxy A7 (A700YD),300,2019-09-08 00:00:00
42,Samsung,Galaxy A8,400,2019-09-08 00:00:00
43,Samsung,Galaxy A8+ (A730),1500,2019-09-08 00:00:00
44,Samsung,Galaxy A8 Star (G8850),1500,2019-09-08 00:00:00
